Time,Throttle,Speed_kmh,Altitude,Drone_Y,Crashed,Pitch,Roll,Yaw
0.15,0.00,2.7,395.9,204.1,False,0.0,0.0,0.0
0.31,0.00,4.9,384.9,215.1,False,0.0,0.0,0.0
0.48,1.00,97.2,453.8,146.2,False,0.0,0.0,0.0
0.64,1.00,185.5,729.8,-129.8,False,0.0,0.0,0.0
0.81,1.00,203.0,850.0,-250.0,False,0.0,0.0,0.0
0.97,1.00,187.3,806.2,-206.2,False,0.0,0.0,0.0
1.14,1.00,193.9,837.8,-237.8,False,0.0,0.0,0.0
1.30,1.00,201.5,813.8,-213.8,False,0.0,0.0,0.0
1.46,1.00,187.2,832.1,-232.1,False,0.0,0.0,0.0
1.63,1.00,194.6,818.2,-218.2,False,0.0,0.0,0.0
1.79,1.00,201.5,828.8,-228.8,False,0.0,0.0,0.0
1.96,1.00,187.5,820.7,-220.7,False,0.0,0.0,0.0
2.12,1.00,194.5,826.8,-226.8,False,0.0,0.0,0.0
2.28,1.00,201.8,822.2,-222.2,False,0.0,0.0,0.0
2.45,1.00,187.4,825.7,-225.7,False,0.0,0.0,0.0
2.61,1.00,194.7,823.1,-223.1,False,0.0,0.0,0.0
2.78,1.00,201.7,825.1,-225.1,False,0.0,0.0,0.0
2.94,1.00,187.4,823.5,-223.5,False,0.0,0.0,0.0
3.11,1.00,193.9,824.6,-224.6,False,-2.8,0.0,0.0
3.28,1.00,200.4,822.2,-222.2,False,-31.3,0.0,0.0
3.50,1.00,187.4,824.2,-224.2,False,-56.8,0.0,0.0
3.73,1.00,194.6,824.2,-224.2,False,-56.8,0.0,0.0
3.96,1.00,201.7,824.2,-224.2,False,-56.8,0.0,0.0
4.20,1.00,187.4,823.7,-223.7,False,-65.4,0.0,0.0
4.45,1.00,193.9,822.9,-222.9,False,-93.8,0.0,0.0
4.72,1.00,200.4,823.6,-223.6,False,-122.2,0.0,0.0
5.02,1.00,187.4,823.0,-223.0,False,-150.6,0.0,0.0
5.35,1.00,194.0,823.5,-223.5,False,-179.1,0.0,0.0
5.69,1.00,200.4,823.1,-223.1,False,-207.5,0.0,0.0
6.06,1.00,187.4,823.4,-223.4,False,-235.9,0.0,0.0
6.45,1.00,193.9,823.1,-223.1,False,-264.3,0.0,0.0
6.87,1.00,200.4,823.3,-223.3,False,-292.7,0.0,0.0
7.31,1.00,187.4,823.2,-223.2,False,-321.2,0.0,0.0
7.78,1.00,193.9,823.3,-223.3,False,-349.6,0.0,0.0
8.28,1.00,200.4,823.2,-223.2,False,-378.0,0.0,0.0
8.79,1.00,187.4,823.3,-223.3,False,-406.4,0.0,0.0
9.34,1.00,193.9,823.2,-223.2,False,-434.8,0.0,0.0
9.91,1.00,200.4,823.3,-223.3,False,-463.3,0.0,0.0
10.51,1.00,187.4,823.2,-223.2,False,-491.7,0.0,0.0
11.14,1.00,193.9,823.3,-223.3,False,-520.1,0.0,0.0
11.79,1.00,200.4,823.2,-223.2,False,-548.5,0.0,0.0
12.45,1.00,187.4,823.3,-223.3,False,-576.9,0.0,0.0
13.13,1.00,193.9,823.2,-223.2,False,-605.4,0.0,0.0
13.84,1.00,200.4,823.3,-223.3,False,-633.8,0.0,0.0
14.55,1.00,187.4,823.2,-223.2,False,-662.2,0.0,0.0
15.29,1.00,193.9,823.3,-223.3,False,-690.6,0.0,0.0
16.06,1.00,200.4,823.3,-223.3,False,-719.1,0.0,0.0
16.85,1.00,187.4,823.3,-223.3,False,-747.5,0.0,0.0
17.67,1.00,193.9,823.3,-223.3,False,-775.9,0.0,0.0
