Time,Throttle,Yaw,Pitch,Roll,Speed_kmh,Altitude,EMG_Quality,Fatigue_Level
1757440365.12,0.00,0.00,0.00,0.00,2.7,395.9,Not Calibrated,0.0
1757440365.29,0.00,0.00,0.00,0.00,4.9,384.9,Not Calibrated,0.0
1757440365.45,0.00,0.00,0.00,0.00,6.9,368.2,Not Calibrated,0.0
1757440365.62,0.00,0.00,0.00,0.00,8.6,346.4,Not Calibrated,0.0
1757440365.78,0.00,0.00,0.00,0.00,10.0,320.3,Not Calibrated,0.0
1757440365.95,0.00,0.00,0.00,0.00,11.3,290.5,Not Calibrated,0.0
1757440366.11,0.00,0.00,0.00,0.00,12.3,257.5,Not Calibrated,0.0
1757440366.28,0.00,0.00,0.00,0.00,13.3,221.7,Not Calibrated,0.0
1757440366.44,0.00,0.00,0.00,0.00,14.1,183.6,Not Calibrated,0.0
1757440366.61,0.00,0.00,0.00,0.00,14.7,143.5,Not Calibrated,0.0
1757440366.78,0.00,0.00,0.00,0.00,15.3,101.7,Not Calibrated,0.0
1757440366.94,0.00,0.00,0.00,0.00,15.8,58.3,Not Calibrated,0.0
1757440367.10,0.00,0.00,0.00,0.00,16.3,13.7,Not Calibrated,0.0
1757440367.27,0.00,0.00,0.00,0.00,16.6,10.0,Not Calibrated,0.0
1757440367.43,0.00,0.00,0.00,0.00,17.0,10.0,Not Calibrated,0.0
1757440367.60,0.00,0.00,0.00,0.00,17.2,10.0,Not Calibrated,0.0
1757440367.76,0.00,0.00,0.00,0.00,17.5,10.0,Not Calibrated,0.0
1757440367.93,0.00,0.00,0.00,0.00,17.7,10.0,Not Calibrated,0.0
1757440368.09,0.00,0.00,0.00,0.00,17.8,10.0,Not Calibrated,0.0
1757440368.26,0.00,0.00,0.00,0.00,18.0,10.0,Not Calibrated,0.0
1757440368.43,0.00,0.00,0.00,0.00,18.1,10.0,Not Calibrated,0.0
1757440368.59,0.00,0.00,0.00,0.00,18.2,10.0,Not Calibrated,0.0
1757440368.75,0.00,0.00,0.00,0.00,18.3,10.0,Not Calibrated,0.0
1757440368.92,0.00,0.00,0.00,0.00,18.4,10.0,Not Calibrated,0.0
1757440369.08,0.00,0.00,0.00,0.00,18.5,10.0,Not Calibrated,0.0
1757440369.25,0.00,0.00,0.00,0.00,18.5,10.0,Not Calibrated,0.0
1757440369.41,0.00,0.00,0.00,0.00,18.6,10.0,Not Calibrated,0.0
1757440369.58,0.00,0.00,0.00,0.00,18.6,10.0,Not Calibrated,0.0
1757440369.74,0.00,0.00,0.00,0.00,18.7,10.0,Not Calibrated,0.0
1757440369.91,0.00,0.00,0.00,0.00,18.7,10.0,Not Calibrated,0.0
1757440370.07,0.00,0.00,0.00,0.00,18.7,10.0,Not Calibrated,0.0
1757440370.24,0.00,0.00,0.00,0.00,18.8,10.0,Not Calibrated,0.0
1757440370.40,0.00,0.00,0.00,0.00,18.8,10.0,Not Calibrated,0.0
1757440370.57,0.00,0.00,0.00,0.00,18.8,10.0,Not Calibrated,0.0
1757440370.73,0.00,0.00,0.00,0.00,18.8,10.0,Not Calibrated,0.0
1757440370.90,0.00,0.00,0.00,0.00,18.8,10.0,Not Calibrated,0.0
1757440371.07,0.00,0.00,0.00,0.00,18.8,10.0,Not Calibrated,0.0
1757440371.23,0.00,0.00,0.00,0.00,18.9,10.0,Not Calibrated,0.0
1757440371.40,0.00,0.00,0.00,0.00,18.9,10.0,Not Calibrated,0.0
1757440371.57,0.00,0.00,0.00,0.00,18.9,10.0,Not Calibrated,0.0
1757440371.73,0.00,0.00,0.00,0.00,18.9,10.0,Not Calibrated,0.0
1757440371.90,0.00,0.00,0.00,0.00,18.9,10.0,Not Calibrated,0.0
1757440372.06,0.00,0.00,0.00,0.00,18.9,10.0,Not Calibrated,0.0
1757440372.22,0.00,0.00,0.00,0.00,18.9,10.0,Not Calibrated,0.0
1757440372.39,1.00,0.00,0.00,0.00,66.4,32.1,Not Calibrated,0.0
1757440372.55,1.00,0.00,0.00,0.00,137.0,218.2,Not Calibrated,0.0
1757440372.71,0.00,0.00,0.00,0.00,118.0,435.5,Not Calibrated,0.0
1757440372.88,0.00,0.00,0.00,0.00,99.9,615.9,Not Calibrated,0.0
1757440373.04,0.00,0.00,0.00,0.00,84.3,763.6,Not Calibrated,0.0
1757440373.21,0.00,0.00,0.00,0.00,68.3,827.7,Not Calibrated,0.0
1757440373.37,0.00,0.00,0.00,0.00,64.7,716.3,Not Calibrated,4.3
1757440373.54,0.00,0.00,0.00,0.00,57.3,610.4,Not Calibrated,3.5
1757440373.70,0.00,0.00,0.00,0.00,51.0,511.9,Not Calibrated,2.9
1757440373.87,0.00,0.00,0.00,0.00,45.7,419.9,Not Calibrated,2.1
1757440374.04,0.00,0.00,0.00,0.00,41.2,333.4,Not Calibrated,2.1
1757440374.20,0.00,0.00,0.00,0.00,37.4,251.7,Not Calibrated,1.7
1757440374.36,0.00,0.00,0.00,0.00,34.2,174.1,Not Calibrated,1.6
1757440374.53,0.00,0.00,0.00,0.00,31.6,100.0,Not Calibrated,2.0
1757440374.69,0.00,0.00,0.00,0.00,29.4,28.9,Not Calibrated,1.8
1757440374.85,0.00,0.00,0.00,0.00,27.6,10.0,Not Calibrated,2.2
1757440375.02,0.00,0.00,0.00,0.00,26.1,10.0,Not Calibrated,2.3
1757440375.19,0.00,0.00,0.00,0.00,24.8,10.0,Not Calibrated,2.4
1757440375.35,0.00,0.00,0.00,0.00,23.8,10.0,Not Calibrated,2.1
1757440375.52,0.00,0.00,0.00,0.00,23.0,10.0,Not Calibrated,1.0
1757440375.68,0.00,0.00,0.00,0.00,22.3,10.0,Not Calibrated,1.8
1757440375.85,0.00,0.00,0.00,0.00,21.7,10.0,Not Calibrated,1.7
1757440376.02,0.00,0.00,0.00,0.00,21.3,10.0,Not Calibrated,1.4
1757440376.18,0.00,0.00,0.00,0.00,20.9,10.0,Not Calibrated,1.2
1757440376.35,0.00,0.00,0.00,0.00,20.6,10.0,Not Calibrated,1.0
1757440376.52,0.00,0.00,-0.50,0.00,22.5,10.0,Not Calibrated,1.2
1757440376.70,0.00,0.00,-0.50,0.00,26.6,10.0,Not Calibrated,0.4
1757440376.89,0.00,0.00,0.00,0.00,25.9,10.0,Not Calibrated,1.6
1757440377.08,0.00,0.00,0.00,0.00,24.8,10.0,Not Calibrated,1.5
1757440377.27,0.00,0.00,0.00,0.00,23.9,10.0,Not Calibrated,2.0
1757440377.46,0.00,0.00,0.50,0.00,20.9,10.0,Not Calibrated,2.3
1757440377.62,0.00,0.00,0.00,0.00,18.2,10.0,Not Calibrated,2.3
1757440377.79,0.00,0.00,0.00,0.00,18.3,10.0,Not Calibrated,3.4
1757440377.95,0.00,0.00,0.00,0.00,18.3,10.0,Not Calibrated,4.0
1757440378.12,0.00,0.00,0.00,0.00,17.5,10.0,Not Calibrated,5.1
1757440378.28,0.00,0.00,0.00,0.00,17.5,10.0,Not Calibrated,5.7
1757440378.44,0.00,0.00,0.00,0.00,17.5,10.0,Not Calibrated,5.5
1757440378.61,0.00,0.00,0.00,0.00,17.5,10.0,Not Calibrated,5.7
1757440378.77,0.00,0.00,0.00,0.00,17.6,10.0,Not Calibrated,5.2
1757440378.94,0.00,0.00,0.50,0.00,17.2,10.0,Not Calibrated,5.0
1757440379.11,0.00,0.00,0.00,0.00,17.7,10.0,Not Calibrated,4.7
1757440379.27,0.00,0.00,0.00,0.00,17.3,10.0,Not Calibrated,4.5
1757440379.44,0.00,0.00,0.00,0.00,17.1,10.0,Not Calibrated,4.2
1757440379.60,0.00,0.00,0.00,0.00,17.1,10.0,Not Calibrated,3.7
1757440379.77,0.00,0.00,0.00,0.00,17.1,10.0,Not Calibrated,4.2
1757440379.94,0.00,0.00,0.00,0.00,17.2,10.0,Not Calibrated,3.5
1757440380.10,0.00,0.00,-0.50,0.00,18.8,10.0,Not Calibrated,4.2
1757440380.26,0.00,0.00,0.00,0.00,20.2,10.0,Not Calibrated,4.9
1757440380.43,0.00,0.00,0.00,0.00,20.0,10.0,Not Calibrated,5.5
1757440380.59,0.00,0.00,-0.50,0.00,20.2,10.0,Not Calibrated,5.4
1757440380.75,0.00,0.00,0.00,0.00,24.2,10.0,Not Calibrated,4.9
1757440380.91,0.00,0.00,0.00,0.00,23.3,10.0,Not Calibrated,5.2
1757440381.08,0.00,0.00,0.00,0.00,22.6,10.0,Not Calibrated,5.4
1757440381.24,0.00,0.00,0.50,0.00,20.6,10.0,Not Calibrated,5.2
1757440381.41,0.00,0.00,0.00,0.00,18.3,10.0,Not Calibrated,5.1
1757440381.57,0.00,0.00,0.00,0.00,18.4,10.0,Not Calibrated,5.2
1757440381.74,0.00,0.00,0.50,0.00,17.2,10.0,Not Calibrated,5.1
1757440381.90,0.00,0.00,0.00,0.00,17.1,10.0,Not Calibrated,3.8
1757440382.06,0.00,0.00,0.00,0.00,17.2,10.0,Not Calibrated,3.6
